Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Wall organiser utensil holder,30522
Towel holder,21161
Pull down shelf,29969
Magnetic knife holder,26247
Cabinet liner,36389
Lining,26235
Cling film holder,26233
Pull-out storage,26232
Storage system,29397
Tandem larder storage,29398
Cabinet panel lock,30586
Plinth clip,26174
Hinge soft-close adaptor,30555
Open & close mechanism,26172
Push to open kit,22595
Push-to-open adaptor,30557
Soft close mechanism,33309
Soft close upgrade mechanism,30491
Cabinet leg,26169
Designer leg,30343
Worktop support leg,30379
Bi-fold cabinet hinge,30365
Bridging door hinge,30524
Cabinet hinge,26168
Corner cabinet hinge,30510
Integrated appliance cabinet hinge,30349
Cookware set,34842
Cookie cutter,34841
Cocktail shaker,34839
Cake topper,34838
Cake mould,34837
Cake tin,26995
Baking paper,34835
Foil,18772
Afternoon tea stand,34834
Cake stand,34864
Whisk,34817
Splatter screen,34812
Rotisserie skewers,36719
Skewer,34809
Salad spinner,34808
Rolling pin,34807
Pizza cutter,32044
Pizza wheel,34825
Piping nozzle,34805
Pasta server,34824
Pasta spoon,34802
Pasta maker,34801
Pan insert,34799
Pasta insert,34823
Steamer insert,34829
Pan handle,34798
Baking tray,35528
Oven tray,34797
Roasting tray,35527
Tart tin,35529
Oven pan,34796
Oil stopper,34794
Nutcracker,34793
Mortar & pestle set,34790
Measuring spoon,34789
Travel mug,34763
Place card,34759
Oil & vinegar pourer set,34758
Gravy boat,34755
Shelf rail,26989
Salt & pepper mill,30339
Salt & pepper mills,27014
Pot mat,27013
Roll-up drying mat & trivet,30592
Trivet,27034
Dinner plate,30485
Plate,27012
Plates,27033
Side plate,30486
Plate rack,26988
Plate rack insert,29934
Placemats,27011
Table mat,27017
Cooler,27020
Picnic bag,27010
Picnic bag & cooler,30484
Cup,27019
Espresso cup,34134
Mug,27009
Soup cup,30483
Measuring scale,27008
Scales,30338
Kitchen utensil set,26991
Jug,27006
Measuring jug,29966
Induction disc,27018
Beer glass,33948
Champagne glass,34966
Cocktail glass,34970
Coffee glass,34974
Drinking jar,30354
Flute glass,29976
Gin glass,34976
Glasses,27005
High ball glass,29971
Mixer glass,29965
Shot glass,34962
Whiskey glass,34978
Wine glass,29974
Barbecue pan,27439
Frying pan,27004
Griddle,34969
Sauce pan,34965
Sauté pan,34973
Stock pot,35290
Wok,34007
Food storage set,27003
Food steamer,27002
Sous vide machine,34133
Flour shaker,27001
Dinnerware set,26998
Compost caddy,26986
Canister,26996
"Tea, coffee & sugar canister",30337
Bread tin,35530
Loaf tin,35531
Bag holder,26992
Bin bag holder,33322
3 drawer cabinet front,34431
4 drawer cabinet front,34430
Drawer front,25786
"Drawer front, bridging door & bi fold door",30526
Internal drawer front,30525
Multi drawer front,30280
Bridging door & pan drawer front,29388
Door & drawer,29389
Drawerline door & drawer front,29390
Dresser door & drawer front,29391
Glazed bridging door & pan drawer front,29392
Glazed door & drawer front,29395
Pan drawer front & bi-fold door,29393
Tall dresser door & drawer front,29394
Tall glazed door & drawer front,29396
"Curved wall, base door & filler post",29387
External curved door,25781
External tall curved door & wall post,29386
Filler post,25784
Internal curved door,25782
Standard curved door & filler post,29327
Tall curved door & filler post,29348
Sink tidy,36299
Washing up bowl,34571
Cabinet drainer,30593
Food mixer,34191
Hot chocolate maker,6844
Milk frother,34188
Fondue set,34187
Soup maker,34186
Vacuum pack machine,34183
Vacuum sealer,34203
Waffle maker,34182
Mini oven,35136
Blender,33685
Food processor,34139
Hand blender,34135
Smoothie maker,34138
Warming drawer,21701
Carbon filter,21711
Cooker hood filter,25181
Wine cooler carbon filter,34086
Pull out tap head,35177
Extension spring,34363
Tile cutter breaker bar,32655
Hand tool wedge set,32852
Spring,33041
Blow torch head,36387
Paint burner head,36383
Soldering iron,24681
Gas cylinder trolley,34871
Barrier spray,33832
Acid core solder,29436
Electronic solder,29445
Rosin core solder,18547
Solder,18550
Solder wire,24679
Solid wire solder,11824
Wire solder & soluble flux,25464
Solder wire & flux set,24680
Solder wire set,24684
Soldering mat,24678
Mechanics vice,24735
Multi-angle vice,12479
Multi-vice,34483
Multi-vise,16978
Portable vice,22807
Table vice,24734
Workshop vice,12974
Workbench clamp,24731
Band clamp,23136
Flooring clamp,29438
Pipe clamp,18543
Hand clamp,32792
Spring clamp,23995
3-way G-clamp,29432
G-clamp,22835
Bar clamp,23145
Bar clamp & spreader,30259
Clamp & spreader,29490
F-clamp,23715
Masonry clamp,23130
Mini one handed clamp & spreader,30263
One handed clamp,29429
One handed clamp & spreader,29491
Pump f-clamp,23314
Quick action clamp,29439
Quick clamp,18544
Quick-change bar clamp,18548
Quick-grip clamp,18551
Quickgrip XP clamp,18542
Ratchet clamp,24014
S clamp,29446
Spreader clamp,24018
Drill press vice,22854
Machine vice,24733
Clamp pads,24723
Workbench with peg board,35319
Support table,31886
Trestle,24649
Multi round roller stand,28064
Multi square roller stand,28057
Roller stand,24648
Tile wedges,32954
Scoring wheel,32793
Tile levelling pliers,33792
Tile saw,29632
Removing & smoothing tool set,31470
Tiling batten set,24701
T tile spacer,29572
Tile levelling spacer,29573
Tile spacer,24700
Tile scribe,24699
Tile nippers,24698
Folding tile cutter,29434
Tile cutter,24695
Tile hole cutter,29443
Adhesive spreaders,35080
Combination grout spreader,32945
Grout spreader,24690
Grout application bag,24688
Grout application bags,31954
Hole punch,24651
Replacement bolt cutter jaw,34875
Hose clamp plier,34629
Boot clamp pliers,34389
Spark plug pliers,34369
Groove joint pliers,29555
Machine groove pliers,29562
Quick release slip joint pliers,23987
Slip joint pliers,23981
Ratcheting water pump pliers,29474
Siphon pliers,31917
Water pump pliers,12883
Tweezers,23647
Bent long nose pliers,29453
Chain nose pliers,29457
Compound action long nose pliers,29454
High leverage snipe pliers,29455
Long nose flat blade pliers,23630
Long nose pliers,12467
Mini long nose pliers,22865
Snipe nose pliers,29456
VDE bent nose pliers,31020
Crimping plier set,24595
Pressure & temperature gauge,34402
Analogue thermometer,32417
Thermometer/Hygrometer,23312
Carpenter square,29569
Combination square,22789
Combination square & square set,30261
Drywall T-square,23649
Folding square,23651
Framing square,22870
Mitre angle,32474
Quick square,22818
Rafter square,23654
Square,29023
Tri & mitre square,29566
Tri & mitre square set,29567
Tri square,29568
Try/Mitre square,24010
Utility square,23653
Bevel ruler,33319
Ruler,22859
Digital thermometer,24741
Infrared digital thermometer,29495
Pocket thermometer,29494
Thermometer,29493
Angle divisor,24738
Angle measurer,29527
Digital angle divisor,24737
Digital angle finder,29528
Digital angle measurer,29529
Digital inclinometer,29530
Aligning bar,23633
Claw bar,22845
Crow bar,24627
Demolition bar,29523
Gorilla bar,29524
Moulding bar,29525
Pry bar,24006
Roofing bar,24628
Utility bar,24002
Utility bar set,31952
Wrecking bar,23632
Nail puller,24626
Chisel,12042
Cold chisel,22802
Bolster,24624
Bolster & guard,29544
Bolster chisel,35079
Brick bolster,22858
Brick bolster & guard,29543
Demagnetiser,24633
Magnetiser,24632
Magnetiser & demagnetiser,24634
Electrical torque screwdriver,24631
Electrical screwdriver,21446
Mains tester screwdriver,23133
Screwdriver,12511
Voltage tester screwdriver,29643
Bow saw blade,29598
Circular saw blade,13558
Coping saw blade,23988
Hacksaw blade,23883
Junior hacksaw blade,23935
Mitre saw blade,23998
Pointing saw blade,29612
Pruning saw blade,32847
PUL265 pull saw blade,29616
PUL265 short pull saw blade,29618
PUL300 pull saw blade,29620
Tile saw blade,29621
Hand saw set,24542
Jabsaw & hacksaw set,29606
Jabsaw & scabbard,29597
Saw set,29611
Saw twin pack,29615
Bow saw,24541
Coping saw,23882
Fretsaw,29593
Hacksaw,23985
Junior hacksaw,23659
Mini hacksaw,23937
Digital vacuum gauge,24716
Cable detector,24711
"Cable, pipe & stud detector",29253
Coax cable tester,30903
Detector,29512
Digital detector,29513
Multi detector,22791
Pipe detector,24712
Profile detector,29609
Stud detector,24710
Pressure test nipple,24709
Moisture meter,22824
Digital manometer,24706
Double input digital manometer,29600
Single input digital manometer,29607
Light meter,24645
Irradiance meter,24644
Continuity bond,24639
Chimney brush extension rod,35016
Crimping jaw,34989
Press jaw,34993
Chimney coring ball,34698
De-mounting clip,32588
Pipe bend guide,32144
Chimney & flue brush,34939
Chimney brush,31029
Flue brush,34940
Tap reseater,24584
Tap reseating tool,30899
Thread tap,30900
Push fit removal tool,29894
Tap removal tool,24570
4 way key,29411
4 way radiator key,11698
4 way utility key,29417
Bleed key,11692
Combination stopcock key,29419
Hepkey plus set,29420
Hepkey set,29421
Immersion heater key,29422
Manhole key,29423
Manhole keys,29424
Meter cupboard key,29425
Plumbing key,24565
Pre-setting key,21365
Radiator key,29426
Radiator spanner,29418
Radiator valve key,29427
Stopcock key,29428
Pipe stripper,24564
Pipe freezing jacket,24561
Pipe flaring kit,24560
Deburring tool,24581
Pipe cutter,24558
Pipe shears,29506
Tube cutter,29508
Pipe cutter set,29504
Blade,11955
Pipe cutter blade,31912
Pipe cutter wheel,31923
External pipe bending spring,29413
Internal pipe bending spring,29402
Pipe bending spring,29499
Pipe bender,24557
Olive puller,24556
Pressure vessel hand pump,24529
Drain cleaner,28528
Drain coil,24530
Drain coil in drum,31930
Drain coil with worm hook,31922
Drain coil with worm screw,31911
Drain coil with worm screw & brush,31927
Toilet brush & holder,28883
Cosmetic mirror,36634
Extending mirror,31981
Extending shaving mirror,31983
Illuminated mirror,31984
Mirror with Bluetooth speakers,31985
Mirror with radio,31986
Bathroom accessory set,25065
Set of toilet accessories,33222
Double towel rail,31971
Towel hook,31978
Towel rack,33382
Towel rail,13103
Towel ring,21168
Towel stand,33384
Toothbrush holder,8288
Tumbler,13109
Tumbler & toothbrush holder,24967
Toilet roll holder,25607
Toilet roll holder stand,33383
Toilet roll holder with lid,33379
Toilet roll holder with shelf,33381
Toilet roll storage box,35984
Grab bar,32074
Grab rail,25609
Rechargeable sensor soap pump dispenser,25440
Sensor soap pump dispenser,25441
Soap dispenser,8384
Corner soap dish,25070
Soap dish,12622
Soap dish & holder,25126
Soap tray,35983
Suction soap holder,25069
Dishwasher wine glass basket,35953
Washing machine & tumble dryer stacking kit,35952
Oven strip,33416
Plinth strip,30780
Stanchion,27027
Angled corner post,29920
Base corner post,30509
Base post,30567
Corner post,25147
Post,6331
Wall corner post,29919
Wall post,29936
Fitted pull-out storage,35337
Baker's rack,35100
Cutlery tray,12117
Utensil tray,26239
Spice rack,26248
Paper roll holder,26237
Pan lid holder,26236
Cabinet divider,30265
Drawer divider,30494
Storage divider,26234
Carousel,18607
Corner cabinet carousel,30492
Half carousel,30455
Revolving shelf,30348
Three quarter carousel,30493
Basket shelf,34457
Cabinet shelving,34639
Door shelf,32901
Shelf with rail,30364
Wall organiser shelving,30579
Worktop shelving,30580
Wine rack,26231
Wine rack cabinet,18554
Wine rack fascia,35072
Wine rack frame,29968
Drawer organiser,30781
Heat deflector,30521
Oven heat deflector kit,18525
Drink dispenser,27000
Hot water dispenser,34132
Tea maker,34137
Butcher's block,26990
Chopping board,12045
Bottle,26993
Clip top bottle,30477
Squeeze bottle,35288
Internal drawer front pull,30553
Cabinet door,25068
Cabinet door kit,30336
Deep drawer box,25788
Drawer box,25787
Slimline deep drawer box,34592
Slimline drawer box,34593
Door frame,12149
Kitchen cabinet frame,29930
Open end base frame,30358
Open frame,30378
Appliance door,30389
Corner drawerline door,30369
Corner full height door,30377
Corner wall door,30357
Curved base door & filler panel,30393
Curved door & filler panel,29377
Fridge freezer door,30391
Larder door,30392
Standard curved door & filler panel,29347
Standard door,30385
Standard door & filler panel,30454
Kitchen sink,13399
Sink & drainer,29947
Replacement basket waste,25823
Replacement sink waste strainer,25824
Sink plug & strainer,25825
Strainer waste cover,25826
Bowl grid,29962
Cutlery drainer,29963
Dish drainer rack,29914
Drainer,25798
Kitchen drainer,25801
Kitchen sink drainer,25802
Sink drainer rod,26022
Compact sink,13178
Composite sink,30353
Sink,13309
Sink bowl,30335
